iter	Passed	Remaining
0	15	15066
1	34	17347
2	49	16552
3	63	15924
4	76	15169
5	96	15998
6	112	15942
7	129	16041
8	147	16248
9	169	16791
10	220	19864
11	255	21026
12	281	21409
13	302	21312
14	322	21209
15	346	21300
16	367	21253
17	408	22264
18	439	22696
19	471	23092
20	496	23138
21	521	23188
22	546	23200
23	593	24143
24	649	25321
25	664	24878
26	678	24468
27	696	24174
28	722	24189
29	744	24077
30	763	23868
31	777	23510
32	788	23117
33	802	22793
34	817	22532
35	832	22300
36	848	22080
37	859	21757
38	874	21548
39	891	21386
40	906	21204
41	930	21228
42	954	21240
43	970	21084
44	989	20990
45	1007	20898
46	1020	20687
47	1035	20543
48	1046	20314
49	1064	20220
50	1075	20020
51	1088	19842
52	1102	19707
53	1117	19581
54	1133	19470
55	1151	19410
56	1163	19250
57	1180	19179
58	1197	19095
59	1214	19025
60	1227	18891
61	1244	18830
62	1261	18764
63	1277	18688
64	1293	18612
65	1310	18538
66	1321	18406
67	1337	18335
68	1351	18238
69	1364	18123
70	1378	18041
71	1393	17966
72	1408	17880
73	1427	17858
74	1451	17902
75	1482	18025
76	1501	17995
77	1518	17944
78	1535	17907
79	1551	17842
80	1565	17757
81	1579	17680
82	1602	17708
83	1617	17642
84	1633	17584
85	1652	17566
86	1670	17534
87	1684	17455
88	1701	17414
89	1713	17324
90	1729	17272
91	1739	17164
92	1751	17084
93	1767	17032
94	1778	16942
95	1796	16915
96	1812	16875
97	1827	16822
98	1842	16768
99	1861	16755
100	1875	16690
101	1889	16632
102	1905	16591
103	1919	16540
104	1935	16496
105	1949	16440
106	1964	16391
107	1977	16334
108	1988	16254
109	2000	16187
110	2014	16130
111	2029	16091
112	2041	16025
113	2055	15977
114	2068	15914
115	2082	15870
116	2096	15821
117	2109	15768
118	2119	15693
119	2135	15658
120	2147	15601
121	2159	15538
122	2169	15468
123	2183	15424
124	2196	15378
125	2211	15337
126	2225	15301
127	2237	15244
128	2255	15231
129	2269	15188
130	2290	15194
131	2306	15165
132	2323	15145
133	2341	15131
134	2359	15115
135	2373	15079
136	2387	15037
137	2399	14991
138	2411	14936
139	2425	14898
140	2438	14857
141	2453	14823
142	2468	14790
143	2482	14755
144	2495	14713
145	2513	14699
146	2527	14665
147	2540	14626
148	2556	14599
149	2572	14578
150	2587	14550
151	2599	14505
152	2610	14451
153	2625	14424
154	2648	14437
155	2667	14429
156	2681	14399
157	2697	14376
158	2712	14346
159	2729	14327
160	2744	14301
161	2760	14278
162	2775	14251
163	2788	14215
164	2801	14177
165	2816	14152
166	2830	14120
167	2846	14097
168	2861	14071
169	2876	14044
170	2893	14025
171	2908	14001
172	2922	13971
173	2937	13946
174	2954	13927
175	2970	13909
176	2990	13904
177	3006	13882
178	3022	13861
179	3040	13851
180	3056	13829
181	3072	13808
182	3088	13787
183	3101	13754
184	3117	13734
185	3136	13726
186	3152	13707
187	3171	13697
188	3186	13672
189	3203	13656
190	3217	13626
191	3231	13597
192	3247	13578
193	3266	13572
194	3282	13552
195	3297	13525
196	3311	13498
197	3326	13473
198	3342	13453
199	3356	13427
200	3368	13392
201	3385	13375
202	3401	13354
203	3420	13346
204	3437	13330
205	3454	13313
206	3473	13307
207	3491	13294
208	3509	13284
209	3524	13257
210	3543	13250
211	3565	13251
212	3581	13232
213	3597	13212
214	3616	13205
215	3633	13189
216	3649	13170
217	3666	13151
218	3686	13145
219	3704	13133
220	3720	13114
221	3738	13101
222	3755	13084
223	3768	13056
224	3785	13040
225	3802	13021
226	3817	12998
227	3833	12981
228	3851	12967
229	3866	12945
230	3882	12923
231	3899	12907
232	3913	12881
233	3928	12861
234	3944	12840
235	3960	12820
236	3974	12794
237	3989	12772
238	4002	12743
239	4015	12716
240	4030	12693
241	4043	12665
242	4057	12638
243	4069	12608
244	4081	12578
245	4094	12550
246	4109	12529
247	4122	12499
248	4136	12474
249	4151	12454
250	4166	12432
251	4180	12407
252	4193	12381
253	4212	12371
254	4231	12361
255	4246	12340
256	4261	12320
257	4277	12303
258	4291	12278
259	4307	12258
260	4324	12243
261	4339	12224
262	4354	12201
263	4370	12184
264	4386	12167
265	4402	12148
266	4417	12128
267	4433	12108
268	4448	12088
269	4462	12065
270	4481	12054
271	4498	12040
272	4512	12017
273	4527	11995
274	4543	11978
275	4558	11958
276	4573	11936
277	4585	11909
278	4598	11883
279	4612	11860
280	4628	11841
281	4642	11820
282	4658	11802
283	4674	11784
284	4727	11859
285	4779	11932
286	4831	12003
287	4864	12025
288	4903	12063
289	4927	12063
290	4946	12050
291	4961	12029
292	4975	12006
293	4988	11979
294	5003	11957
295	5020	11940
296	5033	11914
297	5046	11888
298	5060	11863
299	5074	11841
300	5089	11819
301	5105	11800
302	5123	11786
303	5140	11768
304	5156	11750
305	5177	11741
306	5195	11729
307	5211	11710
308	5228	11691
309	5241	11666
310	5256	11645
311	5274	11631
312	5290	11611
313	5306	11592
314	5322	11573
315	5337	11552
316	5351	11529
317	5365	11506
318	5382	11489
319	5397	11468
320	5412	11448
321	5427	11427
322	5443	11408
323	5464	11401
324	5486	11395
325	5502	11376
326	5517	11355
327	5532	11334
328	5570	11360
329	5606	11382
330	5638	11395
331	5682	11433
332	5731	11480
333	5765	11495
334	5798	11511
335	5816	11494
336	5838	11487
337	5867	11492
338	5893	11490
339	6039	11723
340	6065	11722
341	6085	11707
342	6101	11686
343	6122	11674
344	6142	11661
345	6156	11637
346	6174	11620
347	6206	11628
348	6225	11611
349	6242	11593
350	6256	11569
351	6268	11540
352	6282	11514
353	6291	11481
354	6297	11442
355	6312	11419
356	6329	11400
357	6351	11389
358	6369	11372
359	6382	11346
360	6396	11322
361	6414	11305
362	6434	11290
363	6451	11271
364	6466	11250
365	6486	11235
366	6502	11214
367	6519	11196
368	6541	11185
369	6557	11165
370	6574	11145
371	6590	11125
372	6606	11106
373	6622	11084
374	6640	11068
375	6657	11049
376	6678	11036
377	6697	11020
378	6715	11003
379	6733	10986
380	6751	10969
381	6767	10947
382	6786	10932
383	6815	10932
384	6890	11007
385	6911	10994
386	6928	10974
387	6962	10982
388	6981	10965
389	6998	10946
390	7020	10934
391	7040	10919
392	7060	10905
393	7079	10888
394	7098	10873
395	7116	10853
396	7132	10833
397	7149	10814
398	7168	10796
399	7187	10781
400	7205	10762
401	7233	10760
402	7252	10743
403	7271	10727
404	7290	10711
405	7305	10688
406	7322	10669
407	7341	10652
408	7359	10633
409	7374	10611
410	7389	10589
411	7403	10565
412	7417	10542
413	7431	10518
414	7446	10496
415	7462	10476
416	7481	10460
417	7499	10441
418	7519	10426
419	7537	10408
420	7553	10387
421	7569	10367
422	7582	10343
423	7597	10321
424	7613	10301
425	7630	10280
426	7646	10261
427	7662	10239
428	7678	10220
429	7693	10198
430	7710	10179
431	7726	10159
432	7741	10137
433	7757	10116
434	7774	10097
435	7789	10076
436	7803	10053
437	7818	10032
438	7834	10011
439	7847	9988
440	7862	9966
441	7878	9945
442	7896	9928
443	7911	9907
444	7925	9884
445	7941	9864
446	7957	9844
447	7971	9822
448	7988	9803
449	8002	9781
450	8033	9778
451	8050	9760
452	8069	9743
453	8084	9723
454	8100	9702
455	8116	9682
456	8134	9665
457	8149	9643
458	8163	9621
459	8182	9606
460	8199	9586
461	8216	9567
462	8232	9548
463	8249	9529
464	8264	9508
465	8280	9489
466	8300	9473
467	8334	9474
468	8351	9455
469	8366	9434
470	8381	9413
471	8399	9395
472	8416	9377
473	8437	9362
474	8453	9343
475	8468	9322
476	8482	9300
477	8496	9278
478	8512	9258
479	8527	9238
480	8547	9222
481	8566	9206
482	8585	9190
483	8606	9175
484	8638	9172
485	8656	9155
486	8675	9138
487	8692	9119
488	8707	9099
489	8726	9082
490	8748	9068
491	8767	9052
492	8785	9034
493	8804	9018
494	8835	9013
495	8854	8997
496	8874	8981
497	8902	8973
498	8919	8955
499	8939	8939
500	8957	8921
501	8971	8900
502	8987	8880
503	9002	8859
504	9018	8839
505	9035	8821
506	9050	8800
507	9064	8778
508	9078	8757
509	9092	8736
510	9106	8714
511	9128	8700
512	9143	8679
513	9155	8656
514	9171	8636
515	9186	8616
516	9199	8594
517	9213	8573
518	9228	8552
519	9243	8532
520	9257	8511
521	9272	8490
522	9284	8468
523	9298	8447
524	9314	8427
525	9331	8408
526	9345	8387
527	9361	8368
528	9376	8348
529	9390	8327
530	9405	8307
531	9420	8287
532	9435	8266
533	9452	8248
534	9469	8230
535	9482	8208
536	9495	8186
537	9509	8166
538	9523	8145
539	9540	8127
540	9555	8107
541	9574	8090
542	9589	8070
543	9604	8051
544	9619	8031
545	9634	8011
546	9647	7989
547	9662	7969
548	9677	7949
549	9691	7929
550	9703	7907
551	9717	7886
552	9734	7868
553	9749	7848
554	9762	7827
555	9776	7807
556	9792	7788
557	9805	7767
558	9818	7745
559	9832	7725
560	9848	7706
561	9865	7688
562	9880	7668
563	9894	7649
564	9908	7628
565	9924	7609
566	9938	7589
567	9947	7565
568	9960	7545
569	9975	7525
570	9987	7504
571	10000	7482
572	10012	7461
573	10026	7441
574	10040	7421
575	10053	7400
576	10067	7380
577	10077	7357
578	10089	7336
579	10117	7326
580	10128	7304
581	10142	7284
582	10153	7262
583	10164	7240
584	10175	7218
585	10186	7196
586	10200	7176
587	10214	7157
588	10228	7137
589	10245	7119
590	10259	7100
591	10269	7077
592	10283	7058
593	10299	7039
594	10314	7020
595	10328	7001
596	10341	6980
597	10355	6961
598	10367	6940
599	10381	6921
600	10395	6901
601	10407	6880
602	10418	6859
603	10434	6840
604	10449	6822
605	10464	6803
606	10478	6784
607	10499	6769
608	10516	6751
609	10533	6734
610	10556	6721
611	10575	6705
612	10595	6689
613	10613	6672
614	10629	6653
615	10664	6647
616	10703	6644
617	10723	6628
618	10741	6611
619	10756	6592
620	10772	6574
621	10790	6557
622	10807	6539
623	10823	6521
624	10842	6505
625	10855	6485
626	10872	6467
627	10887	6449
628	10903	6430
629	10919	6413
630	10948	6402
631	10966	6385
632	10984	6368
633	11001	6351
634	11018	6333
635	11033	6314
636	11050	6297
637	11066	6278
638	11083	6261
639	11098	6243
640	11113	6224
641	11129	6206
642	11145	6188
643	11159	6168
644	11179	6153
645	11196	6135
646	11212	6117
647	11228	6099
648	11248	6083
649	11281	6074
650	11299	6057
651	11315	6039
652	11329	6020
653	11350	6005
654	11365	5986
655	11386	5970
656	11399	5951
657	11413	5932
658	11431	5915
659	11448	5897
660	11467	5880
661	11489	5866
662	11507	5849
663	11525	5832
664	11540	5813
665	11557	5796
666	11576	5779
667	11590	5760
668	11606	5742
669	11625	5725
670	11642	5708
671	11670	5696
672	11697	5683
673	11724	5670
674	11750	5657
675	11765	5639
676	11783	5621
677	11798	5603
678	11813	5584
679	11831	5567
680	11848	5550
681	11863	5531
682	11889	5518
683	11903	5499
684	11918	5480
685	11935	5463
686	11949	5444
687	11964	5425
688	11981	5407
689	11998	5390
690	12016	5373
691	12037	5357
692	12066	5345
693	12081	5327
694	12100	5310
695	12121	5294
696	12136	5276
697	12154	5258
698	12171	5241
699	12186	5222
700	12199	5203
701	12213	5184
702	12230	5167
703	12251	5151
704	12274	5135
705	12290	5117
706	12304	5099
707	12318	5080
708	12331	5061
709	12344	5042
710	12361	5024
711	12374	5005
712	12392	4988
713	12409	4970
714	12422	4951
715	12438	4933
716	12452	4915
717	12465	4895
718	12478	4876
719	12490	4857
720	12504	4838
721	12516	4819
722	12530	4800
723	12545	4782
724	12561	4764
725	12574	4745
726	12586	4726
727	12601	4708
728	12616	4690
729	12631	4671
730	12645	4653
731	12662	4635
732	12678	4618
733	12694	4600
734	12709	4582
735	12726	4564
736	12742	4547
737	12755	4528
738	12774	4511
739	12791	4494
740	12806	4476
741	12821	4457
742	12838	4440
743	12853	4422
744	12869	4404
745	12887	4387
746	12899	4369
747	12914	4350
748	12933	4334
749	12947	4315
750	12962	4297
751	12977	4279
752	12990	4261
753	13008	4244
754	13024	4226
755	13046	4210
756	13061	4192
757	13075	4174
758	13088	4155
759	13103	4137
760	13117	4119
761	13132	4101
762	13147	4083
763	13163	4066
764	13175	4047
765	13190	4029
766	13205	4011
767	13219	3993
768	13234	3975
769	13248	3957
770	13259	3938
771	13273	3920
772	13284	3901
773	13298	3883
774	13311	3864
775	13321	3845
776	13334	3827
777	13347	3808
778	13359	3790
779	13373	3772
780	13385	3753
781	13399	3735
782	13410	3716
783	13424	3698
784	13435	3679
785	13449	3661
786	13462	3643
787	13475	3625
788	13487	3606
789	13498	3588
790	13512	3570
791	13527	3552
792	13541	3534
793	13551	3515
794	13563	3497
795	13577	3479
796	13590	3461
797	13602	3443
798	13616	3425
799	13627	3406
800	13644	3389
801	13663	3373
802	13679	3356
803	13698	3339
804	13717	3322
805	13732	3305
806	13746	3287
807	13761	3270
808	13779	3253
809	13799	3236
810	13817	3220
811	13838	3203
812	13856	3187
813	13873	3170
814	13887	3152
815	13903	3135
816	13919	3117
817	13937	3100
818	13953	3083
819	13966	3065
820	13978	3047
821	13991	3029
822	14002	3011
823	14016	2993
824	14031	2976
825	14046	2958
826	14062	2941
827	14080	2924
828	14094	2907
829	14109	2889
830	14118	2871
831	14142	2855
832	14154	2837
833	14172	2820
834	14186	2803
835	14202	2786
836	14215	2768
837	14228	2750
838	14242	2733
839	14255	2715
840	14269	2697
841	14279	2679
842	14293	2662
843	14306	2644
844	14320	2626
845	14334	2609
846	14344	2591
847	14359	2573
848	14373	2556
849	14389	2539
850	14402	2521
851	14411	2503
852	14427	2486
853	14441	2468
854	14455	2451
855	14472	2434
856	14483	2416
857	14493	2398
858	14506	2381
859	14519	2363
860	14531	2345
861	14541	2328
862	14556	2310
863	14569	2293
864	14583	2276
865	14597	2258
866	14610	2241
867	14623	2223
868	14635	2206
869	14649	2188
870	14662	2171
871	14672	2153
872	14683	2136
873	14695	2118
874	14708	2101
875	14721	2083
876	14735	2066
877	14751	2049
878	14767	2032
879	14781	2015
880	14795	1998
881	14808	1981
882	14818	1963
883	14833	1946
884	14848	1929
885	14863	1912
886	14875	1895
887	14888	1877
888	14900	1860
889	14914	1843
890	14927	1826
891	14941	1809
892	14954	1791
893	14963	1774
894	14977	1757
895	14993	1740
896	15008	1723
897	15020	1706
898	15034	1689
899	15044	1671
900	15057	1654
901	15069	1637
902	15081	1620
903	15093	1602
904	15110	1586
905	15124	1569
906	15139	1552
907	15151	1535
908	15163	1518
909	15174	1500
910	15188	1483
911	15201	1466
912	15216	1449
913	15229	1433
914	15245	1416
915	15256	1399
916	15269	1382
917	15282	1365
918	15294	1348
919	15305	1330
920	15316	1313
921	15328	1296
922	15340	1279
923	15352	1262
924	15365	1245
925	15379	1229
926	15392	1212
927	15405	1195
928	15417	1178
929	15432	1161
930	15446	1144
931	15461	1128
932	15475	1111
933	15488	1094
934	15505	1077
935	15523	1061
936	15537	1044
937	15551	1027
938	15563	1011
939	15577	994
940	15594	977
941	15609	961
942	15624	944
943	15638	927
944	15655	911
945	15671	894
946	15683	877
947	15695	860
948	15711	844
949	15726	827
950	15746	811
951	15763	794
952	15777	778
953	15789	761
954	15801	744
955	15816	727
956	15829	711
957	15842	694
958	15857	677
959	15874	661
960	15889	644
961	15903	628
962	15916	611
963	15930	594
964	15945	578
965	15959	561
966	15976	545
967	15991	528
968	16003	511
969	16019	495
970	16034	478
971	16051	462
972	16067	445
973	16083	429
974	16098	412
975	16112	396
976	16129	379
977	16147	363
978	16164	346
979	16182	330
980	16209	313
981	16229	297
982	16250	281
983	16272	264
984	16293	248
985	16311	231
986	16328	215
987	16348	198
988	16366	182
989	16396	165
990	16428	149
991	16461	132
992	16478	116
993	16497	99
994	16519	83
995	16533	66
996	16547	49
997	16562	33
998	16578	16
999	16594	0
