feature,importance_mean,importance_std
num__SibSp,-0.002244668911335568,0.0012294557968690542
cat__feat_FareBin_Medium,-0.0006734006734006482,0.001144561058045548
cat__TicketPrefix_A/5.,-0.00022446689113355677,0.0004489337822671136
cat__Sex_male,0.0,0.0
cat__Deck_A,0.0,0.0
cat__TicketPrefix_A./5.,0.0,0.0
cat__TicketPrefix_A/5,0.0,0.0
num__Parch,0.0,0.0
cat__Deck_C,0.0,0.0
cat__TicketPrefix_A.5.,0.0,0.0
cat__TicketPrefix_A/4,0.0,0.0
cat__TicketPrefix_A/4.,0.0,0.0
cat__Embarked_Q,0.0,0.0
cat__Deck_B,0.0,0.0
cat__TicketPrefix_STON/O2.,0.0,0.0
cat__Deck_F,0.0,0.0
cat__TicketPrefix_S.O.C.,0.0,0.0
cat__TicketPrefix_S.O.P.,0.0,0.0
cat__TicketPrefix_S.O./P.P.,0.0,0.0
cat__TicketPrefix_S.C./PARIS,0.0,0.0
cat__TicketPrefix_PC,0.0,0.0
cat__TicketPrefix_P/PP,0.0,0.0
cat__TicketPrefix_S.C./A.4.,0.0,0.0
cat__TicketPrefix_PP,0.0,0.0
cat__TicketPrefix_F.C.C.,0.0,0.0
cat__TicketPrefix_Fa,0.0,0.0
cat__TicketPrefix_F.C.,0.0,0.0
cat__TicketPrefix_CA.,0.0,0.0
cat__TicketPrefix_C.A./SOTON,0.0,0.0
cat__TicketPrefix_CA,0.0,0.0
cat__TicketPrefix_A4.,0.0,0.0
cat__TicketPrefix_SOTON/OQ,0.0,0.0
cat__TicketPrefix_SOTON/O.Q.,0.0,0.0
cat__TicketPrefix_SOTON/O2,0.0,0.0
cat__TicketPrefix_S.P.,0.0,0.0
cat__TicketPrefix_SC,0.0,0.0
cat__TicketPrefix_SC/Paris,0.0,0.0
cat__TicketPrefix_SC/AH,0.0,0.0
cat__TicketPrefix_SO/C,0.0,0.0
cat__TicketPrefix_SCO/W,0.0,0.0
cat__TicketPrefix_W/C,0.0,0.0
cat__feat_AgeBin_Adult,0.0,0.0
cat__feat_FareCategory_v2_Expensive,0.0,0.0
cat__feat_FareCategory_v2_Moderate,0.0,0.0
cat__feat_Cabin_missing_0,0.0,0.0
cat__feat_Fare_missing_0,0.0,0.0
cat__feat_Embarked_missing_0,0.0,0.0
cat__feat_Cabin_missing_1,0.0,0.0
cat__feat_AgeBin_Child,0.0,0.0
cat__feat_FareBin_Luxury,0.0,0.0
cat__feat_AgeCategory_v2_Adult,0.0,0.0
cat__feat_AgeCategory_v2_Senior,0.0,0.0
cat__feat_FareCategory_v2_Cheap,0.0,0.0
cat__feat_Age_missing_0,0.0,0.0
cat__feat_AgeBin_Senior,0.0,0.0
cat__feat_AgeBin_Young,0.0,0.0
cat__TicketPrefix_W./C.,0.0,0.0
cat__TicketPrefix_W.E.P.,0.0,0.0
cat__Title_Interactions_Mr_female,0.0,0.0
cat__TicketPrefix_WE/P,0.0,0.0
cat__TicketPrefix_UNKNOWN,0.0,0.0
cat__TicketPrefix_A/S,0.0,0.0
cat__Deck_U,0.00022446689113357897,0.0010996586948521922
cat__Deck_E,0.00022446689113357897,0.0010996586948521922
cat__TicketPrefix_SC/PARIS,0.00022446689113357897,0.0004489337822671579
cat__Embarked_C,0.0002244668911336012,0.0014889449114951657
cat__Sex_female,0.00044893378226715794,0.00054982934742613
num__IsAlone,0.00044893378226715794,0.00054982934742613
cat__feat_FareBin_Low,0.00044893378226715794,0.00054982934742613
cat__Title_Interactions_Master_male,0.000673400673400737,0.001144561058045561
cat__Embarked_S,0.0008978675645342938,0.0008398782012961024
cat__Deck_D,0.0008978675645343159,0.000448933782267158
cat__TicketPrefix_C,0.0008978675645343159,0.000448933782267158
cat__Title_Interactions_Mrs_female,0.0011223344556678505,0.0018780247509182703
cat__feat_AgeBin_Teen,0.001122334455667895,0.0
cat__feat_AgeCategory_v2_Minor,0.001122334455667895,0.0
cat__Title_Interactions_Miss_female,0.001122334455667895,0.0
cat__Deck_G,0.0013468013468014074,0.0010996586948522056
cat__TicketPrefix_S.W./PP,0.0017957351290685652,0.0005498293474260757
cat__TicketPrefix_C.A.,0.0017957351290685652,0.0005498293474260757
cat__TicketPrefix_SW/PP,0.0017957351290685652,0.0005498293474260757
cat__feat_AgeCategory_v2_YoungAdult,0.002020202020202122,0.0004489337822671135
cat__feat_FareBin_High,0.0024691358024692355,0.0008398782012960549
num__feat_Title_te,0.003815937149270576,0.0011445610580455132
num__FamilySize,0.004040404040404111,0.0025196346038882
cat__TicketPrefix_STON/O,0.006285072951739701,0.000897867564534227
num__feat_Embarked_te,0.00920314253647594,0.0035774135691378573
num__Fare,0.01054994388327728,0.003448325812735611
num__feat_TicketPrefix_te,0.017957351290684653,0.0014196532705581886
num__feat_Deck_te,0.018855218855218882,0.002693602693602681
num__Age,0.0280583613916948,0.003756049501836501
num__AgeClass,0.031200897867564616,0.003126462015080596
num__Pclass,0.04983164983164987,0.003221705969563959
num__FarePerPerson,0.053198653198653266,0.0050492578582276145
cat__Title_Interactions_Mr_male,0.2545454545454546,0.010936859901306249
