feature,importance_mean,importance_std
cat__Embarked_Q,-0.0035914702581369084,0.0008398782012960548
num__Fare,-0.0033670033670033517,0.0018780247509182306
cat__feat_FareBin_Low,-0.002693602693602681,0.0005498293474260757
num__AgeClass,-0.0013468013468013406,0.0008398782012960548
cat__feat_FareCategory_v2_Moderate,-0.0013468013468013406,0.0013088556441852466
cat__feat_FareCategory_v2_Expensive,-0.001122334455667784,0.0023542286154212048
cat__feat_AgeBin_Senior,-0.0008978675645342271,0.0008398782012960548
cat__feat_FareBin_Luxury,-0.0008978675645342271,0.0008398782012960548
cat__feat_AgeCategory_v2_Senior,-0.0008978675645342271,0.0008398782012960548
cat__feat_AgeCategory_v2_Minor,-0.0008978675645342271,0.0008398782012960548
cat__feat_AgeBin_Teen,-0.0008978675645342271,0.0013088556441852466
num__FarePerPerson,-0.0006734006734006703,0.0008978675645342272
cat__TicketPrefix_A./5.,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_SO/C,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_P/PP,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_A/S,-0.00022446689113355677,0.0004489337822671135
cat__feat_FareCategory_v2_Cheap,-0.00022446689113355677,0.0013088556441852466
cat__feat_FareBin_High,-0.00022446689113355677,0.0013088556441852466
cat__TicketPrefix_SCO/W,0.0,0.0007098266352790943
cat__TicketPrefix_STON/O2.,0.0,0.0
cat__TicketPrefix_W/C,0.0,0.0
cat__feat_FareBin_Medium,0.0,0.0
cat__TicketPrefix_SC/AH,0.0,0.0
cat__TicketPrefix_WE/P,0.0,0.0
cat__TicketPrefix_A4.,0.0,0.0
cat__TicketPrefix_S.O.P.,0.0,0.0
cat__TicketPrefix_S.C./PARIS,0.0,0.0
cat__TicketPrefix_S.C./A.4.,0.0,0.0
cat__TicketPrefix_C.A./SOTON,0.0,0.0007098266352790943
cat__TicketPrefix_A/4,0.0,0.0007098266352790943
cat__TicketPrefix_SC,0.0,0.0
cat__TicketPrefix_SC/Paris,0.0,0.0
cat__feat_Fare_missing_0,0.0,0.0
cat__feat_Embarked_missing_0,0.0,0.0
cat__feat_Age_missing_0,0.0,0.0
cat__TicketPrefix_S.P.,0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_SOTON/O2,0.00022446689113355677,0.0008398782012960548
cat__TicketPrefix_Fa,0.00022446689113355677,0.0004489337822671136
cat__TicketPrefix_A.5.,0.00022446689113355677,0.0004489337822671136
cat__feat_AgeBin_Young,0.00044893378226711355,0.0005498293474260756
cat__Title_Interactions_Mr_female,0.00044893378226711355,0.0005498293474260756
cat__feat_AgeCategory_v2_YoungAdult,0.00044893378226711355,0.0005498293474260756
cat__TicketPrefix_A/4.,0.0006734006734006703,0.0005498293474260757
cat__TicketPrefix_F.C.,0.0008978675645342271,0.0004489337822671135
cat__TicketPrefix_CA.,0.0008978675645342271,0.0010996586948521514
