feature,importance_mean,importance_std
feature_224,0.0,0.0
feature_17,0.0,0.0
feature_18,0.0,0.0
feature_19,0.0,0.0
feature_20,0.0,0.0
feature_1716,0.0,0.0
feature_22,0.0,0.0
feature_23,0.0,0.0
feature_24,0.0,0.0
feature_25,0.0,0.0
feature_26,0.0,0.0
feature_27,0.0,0.0
feature_28,0.0,0.0
feature_29,0.0,0.0
feature_30,0.0,0.0
feature_16,0.0,0.0
feature_1791,0.0,0.0
feature_1777,0.0,0.0
feature_1778,0.0,0.0
feature_1779,0.0,0.0
feature_1780,0.0,0.0
feature_1781,0.0,0.0
feature_1717,0.0,0.0
feature_1718,0.0,0.0
feature_1719,0.0,0.0
feature_1720,0.0,0.0
feature_1786,0.0,0.0
feature_1721,0.0,0.0
feature_1788,0.0,0.0
feature_1789,0.0,0.0
feature_1790,0.0,0.0
feature_1776,0.0,0.0
feature_32,0.0,0.0
feature_33,0.0,0.0
feature_34,0.0,0.0
feature_35,0.0,0.0
feature_36,0.0,0.0
feature_37,0.0,0.0
feature_38,0.0,0.0
feature_39,0.0,0.0
feature_40,0.0,0.0
feature_1722,0.0,0.0
feature_42,0.0,0.0
feature_43,0.0,0.0
feature_44,0.0,0.0
feature_45,0.0,0.0
feature_46,0.0,0.0
feature_47,0.0,0.0
feature_48,0.0,0.0
feature_49,0.0,0.0
feature_50,0.0,0.0
feature_51,0.0,0.0
feature_52,0.0,0.0
feature_53,0.0,0.0
feature_54,0.0,0.0
feature_55,0.0,0.0
feature_56,0.0,0.0
feature_57,0.0,0.0
feature_58,0.0,0.0
feature_59,0.0,0.0
feature_60,0.0,0.0
feature_61,0.0,0.0
feature_62,0.0,0.0
feature_63,0.0,0.0
feature_64,0.0,0.0
feature_65,0.0,0.0
feature_66,0.0,0.0
feature_67,0.0,0.0
feature_68,0.0,0.0
feature_69,0.0,0.0
feature_70,0.0,0.0
feature_71,0.0,0.0
feature_72,0.0,0.0
feature_73,0.0,0.0
feature_1723,0.0,0.0
feature_75,0.0,0.0
feature_76,0.0,0.0
feature_77,0.0,0.0
feature_78,0.0,0.0
feature_79,0.0,0.0
feature_80,0.0,0.0
feature_81,0.0,0.0
feature_82,0.0,0.0
feature_83,0.0,0.0
feature_84,0.0,0.0
feature_1724,0.0,0.0
feature_86,0.0,0.0
feature_87,0.0,0.0
feature_88,0.0,0.0
feature_89,0.0,0.0
feature_90,0.0,0.0
feature_91,0.0,0.0
feature_92,0.0,0.0
feature_93,0.0,0.0
feature_94,0.0,0.0
feature_95,0.0,0.0
feature_96,0.0,0.0
feature_97,0.0,0.0
feature_98,0.0,0.0
feature_99,0.0,0.0
feature_100,0.0,0.0
feature_101,0.0,0.0
feature_102,0.0,0.0
feature_103,0.0,0.0
feature_104,0.0,0.0
feature_105,0.0,0.0
feature_106,0.0,0.0
feature_107,0.0,0.0
feature_108,0.0,0.0
feature_109,0.0,0.0
feature_110,0.0,0.0
feature_111,0.0,0.0
feature_112,0.0,0.0
feature_113,0.0,0.0
feature_114,0.0,0.0
feature_115,0.0,0.0
feature_116,0.0,0.0
feature_117,0.0,0.0
feature_1725,0.0,0.0
feature_119,0.0,0.0
feature_120,0.0,0.0
feature_121,0.0,0.0
feature_122,0.0,0.0
feature_123,0.0,0.0
feature_124,0.0,0.0
feature_125,0.0,0.0
feature_126,0.0,0.0
feature_127,0.0,0.0
feature_128,0.0,0.0
feature_129,0.0,0.0
feature_130,0.0,0.0
feature_131,0.0,0.0
feature_132,0.0,0.0
feature_133,0.0,0.0
feature_134,0.0,0.0
feature_135,0.0,0.0
feature_136,0.0,0.0
feature_137,0.0,0.0
feature_138,0.0,0.0
feature_139,0.0,0.0
feature_140,0.0,0.0
feature_141,0.0,0.0
feature_142,0.0,0.0
feature_143,0.0,0.0
feature_144,0.0,0.0
feature_145,0.0,0.0
feature_146,0.0,0.0
feature_147,0.0,0.0
feature_148,0.0,0.0
feature_149,0.0,0.0
feature_150,0.0,0.0
feature_151,0.0,0.0
feature_152,0.0,0.0
feature_153,0.0,0.0
feature_154,0.0,0.0
feature_155,0.0,0.0
feature_156,0.0,0.0
feature_157,0.0,0.0
feature_158,0.0,0.0
feature_159,0.0,0.0
feature_160,0.0,0.0
feature_161,0.0,0.0
feature_162,0.0,0.0
feature_163,0.0,0.0
feature_164,0.0,0.0
feature_165,0.0,0.0
feature_166,0.0,0.0
feature_167,0.0,0.0
feature_168,0.0,0.0
feature_169,0.0,0.0
feature_170,0.0,0.0
feature_171,0.0,0.0
feature_172,0.0,0.0
feature_173,0.0,0.0
feature_174,0.0,0.0
feature_175,0.0,0.0
feature_176,0.0,0.0
feature_177,0.0,0.0
feature_1726,0.0,0.0
feature_179,0.0,0.0
feature_180,0.0,0.0
feature_181,0.0,0.0
feature_182,0.0,0.0
feature_183,0.0,0.0
feature_184,0.0,0.0
feature_185,0.0,0.0
feature_186,0.0,0.0
feature_187,0.0,0.0
feature_188,0.0,0.0
feature_189,0.0,0.0
feature_190,0.0,0.0
feature_191,0.0,0.0
feature_192,0.0,0.0
feature_193,0.0,0.0
feature_194,0.0,0.0
feature_195,0.0,0.0
feature_196,0.0,0.0
feature_197,0.0,0.0
feature_198,0.0,0.0
feature_199,0.0,0.0
feature_200,0.0,0.0
feature_201,0.0,0.0
feature_202,0.0,0.0
feature_203,0.0,0.0
feature_1727,0.0,0.0
feature_205,0.0,0.0
feature_206,0.0,0.0
feature_1728,0.0,0.0
feature_208,0.0,0.0
feature_209,0.0,0.0
feature_210,0.0,0.0
feature_211,0.0,0.0
feature_212,0.0,0.0
feature_213,0.0,0.0
feature_214,0.0,0.0
feature_215,0.0,0.0
feature_216,0.0,0.0
feature_217,0.0,0.0
feature_218,0.0,0.0
feature_219,0.0,0.0
feature_220,0.0,0.0
feature_221,0.0,0.0
feature_222,0.0,0.0
feature_223,0.0,0.0
feature_448,0.0,0.0
feature_225,0.0,0.0
feature_226,0.0,0.0
feature_227,0.0,0.0
feature_228,0.0,0.0
feature_229,0.0,0.0
feature_230,0.0,0.0
feature_231,0.0,0.0
feature_232,0.0,0.0
feature_1729,0.0,0.0
feature_234,0.0,0.0
feature_235,0.0,0.0
feature_236,0.0,0.0
feature_237,0.0,0.0
feature_238,0.0,0.0
feature_239,0.0,0.0
feature_240,0.0,0.0
feature_241,0.0,0.0
feature_242,0.0,0.0
feature_243,0.0,0.0
feature_244,0.0,0.0
feature_245,0.0,0.0
feature_246,0.0,0.0
feature_247,0.0,0.0
feature_248,0.0,0.0
feature_249,0.0,0.0
feature_250,0.0,0.0
feature_251,0.0,0.0
feature_252,0.0,0.0
feature_253,0.0,0.0
feature_254,0.0,0.0
feature_255,0.0,0.0
feature_256,0.0,0.0
feature_257,0.0,0.0
feature_258,0.0,0.0
feature_259,0.0,0.0
feature_260,0.0,0.0
feature_261,0.0,0.0
feature_262,0.0,0.0
feature_263,0.0,0.0
feature_264,0.0,0.0
feature_265,0.0,0.0
feature_266,0.0,0.0
feature_267,0.0,0.0
feature_268,0.0,0.0
feature_269,0.0,0.0
feature_270,0.0,0.0
feature_271,0.0,0.0
feature_272,0.0,0.0
feature_273,0.0,0.0
feature_274,0.0,0.0
feature_275,0.0,0.0
feature_276,0.0,0.0
feature_277,0.0,0.0
feature_278,0.0,0.0
feature_279,0.0,0.0
feature_280,0.0,0.0
feature_281,0.0,0.0
feature_1730,0.0,0.0
feature_283,0.0,0.0
feature_284,0.0,0.0
feature_285,0.0,0.0
feature_286,0.0,0.0
feature_287,0.0,0.0
feature_288,0.0,0.0
feature_289,0.0,0.0
feature_290,0.0,0.0
feature_291,0.0,0.0
feature_292,0.0,0.0
feature_293,0.0,0.0
feature_294,0.0,0.0
feature_295,0.0,0.0
feature_296,0.0,0.0
feature_297,0.0,0.0
feature_298,0.0,0.0
feature_299,0.0,0.0
feature_300,0.0,0.0
feature_301,0.0,0.0
feature_302,0.0,0.0
feature_303,0.0,0.0
feature_304,0.0,0.0
feature_305,0.0,0.0
feature_306,0.0,0.0
feature_307,0.0,0.0
feature_308,0.0,0.0
feature_309,0.0,0.0
feature_310,0.0,0.0
feature_311,0.0,0.0
feature_312,0.0,0.0
feature_313,0.0,0.0
feature_314,0.0,0.0
feature_315,0.0,0.0
feature_316,0.0,0.0
feature_317,0.0,0.0
feature_318,0.0,0.0
feature_319,0.0,0.0
feature_320,0.0,0.0
feature_321,0.0,0.0
feature_322,0.0,0.0
feature_323,0.0,0.0
feature_324,0.0,0.0
feature_325,0.0,0.0
feature_326,0.0,0.0
feature_327,0.0,0.0
feature_328,0.0,0.0
feature_329,0.0,0.0
feature_330,0.0,0.0
feature_331,0.0,0.0
feature_332,0.0,0.0
feature_333,0.0,0.0
feature_334,0.0,0.0
feature_335,0.0,0.0
feature_336,0.0,0.0
feature_337,0.0,0.0
feature_338,0.0,0.0
feature_339,0.0,0.0
feature_340,0.0,0.0
feature_341,0.0,0.0
feature_342,0.0,0.0
feature_343,0.0,0.0
feature_344,0.0,0.0
feature_345,0.0,0.0
feature_346,0.0,0.0
feature_347,0.0,0.0
feature_1732,0.0,0.0
feature_349,0.0,0.0
feature_350,0.0,0.0
feature_351,0.0,0.0
feature_352,0.0,0.0
feature_353,0.0,0.0
feature_354,0.0,0.0
feature_355,0.0,0.0
feature_356,0.0,0.0
feature_357,0.0,0.0
feature_358,0.0,0.0
feature_359,0.0,0.0
feature_360,0.0,0.0
feature_361,0.0,0.0
feature_362,0.0,0.0
feature_1733,0.0,0.0
feature_364,0.0,0.0
feature_365,0.0,0.0
feature_366,0.0,0.0
