feature,importance_mean,importance_std
cat__feat_FareBin_Medium,-0.002020202020202011,0.0004489337822671136
cat__feat_FareCategory_v2_Moderate,-0.0015712682379348975,0.0008978675645342272
cat__feat_AgeCategory_v2_Minor,-0.0006734006734006703,0.002199317389704303
cat__Deck_C,-0.00044893378226711355,0.0005498293474260757
cat__Embarked_Q,-0.00044893378226711355,0.0020816203132425727
cat__TicketPrefix_SOTON/OQ,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_A/4,-0.00022446689113355677,0.0008398782012960548
cat__TicketPrefix_F.C.,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_UNKNOWN,-0.00022446689113355677,0.0014889449114951225
cat__feat_FareBin_Low,-0.00022446689113355677,0.0008398782012960548
cat__feat_AgeBin_Senior,-0.00022446689113355677,0.0004489337822671136
cat__feat_AgeCategory_v2_Senior,-0.00022446689113355677,0.0004489337822671136
cat__TicketPrefix_SOTON/O2,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_STON/O2.,-0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_S.O./P.P.,0.0,0.0010038464545453556
cat__Deck_F,0.0,0.0007098266352790943
cat__TicketPrefix_Fa,0.0,0.0
cat__TicketPrefix_P/PP,0.0,0.0
cat__TicketPrefix_S.C./PARIS,0.0,0.0
cat__TicketPrefix_S.O.P.,0.0,0.0
cat__TicketPrefix_SC/PARIS,0.0,0.0
cat__TicketPrefix_S.P.,0.0,0.0
cat__TicketPrefix_SCO/W,0.0,0.0
cat__TicketPrefix_SO/C,0.0,0.0
cat__TicketPrefix_W/C,0.0,0.0
cat__TicketPrefix_A4.,0.0,0.0
cat__TicketPrefix_A/S,0.0,0.0
cat__TicketPrefix_S.C./A.4.,0.0,0.0
cat__TicketPrefix_A/4.,0.0,0.0
cat__TicketPrefix_A./5.,0.0,0.0
cat__TicketPrefix_SC/AH,0.0,0.0
cat__TicketPrefix_SC,0.0,0.0
cat__TicketPrefix_WE/P,0.0,0.0
cat__feat_AgeBin_Child,0.0,0.0018780247509182306
cat__Title_Interactions_Miss_female,0.0,0.0007098266352790943
cat__Title_Interactions_Mr_female,0.0,0.0
cat__TicketPrefix_W.E.P.,0.0,0.0007098266352790943
cat__feat_FareCategory_v2_Cheap,0.0,0.0020076929090907113
cat__feat_Age_missing_0,0.0,0.0
cat__feat_Fare_missing_0,0.0,0.0
cat__feat_Embarked_missing_0,0.0,0.0
num__IsAlone,0.00022446689113355677,0.002874578782236956
num__Fare,0.00022446689113355677,0.002396650561623179
cat__TicketPrefix_SOTON/O.Q.,0.00022446689113355677,0.0013088556441852466
cat__feat_AgeBin_Teen,0.00022446689113355677,0.0004489337822671135
cat__TicketPrefix_A.5.,0.00044893378226711355,0.0005498293474260756
cat__TicketPrefix_SC/Paris,0.00044893378226711355,0.0005498293474260756
num__AgeClass,0.00044893378226711355,0.0023110280900082948
cat__TicketPrefix_C,0.00044893378226711355,0.0008978675645342272
cat__TicketPrefix_C.A./SOTON,0.00044893378226711355,0.0005498293474260757
num__feat_Title_te,0.0006734006734006703,0.0011445610580455132
cat__TicketPrefix_A/5,0.0006734006734006703,0.0013468013468013406
cat__TicketPrefix_CA,0.0006734006734006703,0.0005498293474260757
cat__feat_FareBin_High,0.0006734006734006703,0.0016797564025921095
cat__TicketPrefix_A/5.,0.0006734006734006703,0.0008978675645342272
num__FarePerPerson,0.0008978675645342271,0.0004489337822671136
cat__feat_FareCategory_v2_Expensive,0.0008978675645342271,0.002874578782236956
cat__TicketPrefix_S.O.C.,0.0008978675645342271,0.001795735129068454
cat__TicketPrefix_CA.,0.001122334455667784,0.0014196532705581886
cat__TicketPrefix_SW/PP,0.001122334455667784,0.0007098266352790943
cat__feat_AgeBin_Young,0.0013468013468013406,0.0008398782012960548
cat__feat_AgeCategory_v2_YoungAdult,0.0013468013468013406,0.0008398782012960548
cat__feat_FareBin_Luxury,0.0013468013468013406,0.0013088556441852466
cat__TicketPrefix_S.W./PP,0.0015712682379348975,0.0008978675645342272
cat__feat_AgeCategory_v2_Adult,0.0015712682379348975,0.0005498293474260757
cat__feat_Cabin_missing_0,0.0015712682379348975,0.0015224085259540373
cat__feat_Cabin_missing_1,0.0015712682379348975,0.0015224085259540373
cat__feat_AgeBin_Adult,0.0015712682379348975,0.0005498293474260757
cat__Deck_A,0.0017957351290684542,0.0008978675645342272
cat__Deck_G,0.002244668911335568,0.0012294557968690542
cat__TicketPrefix_PP,0.0024691358024691245,0.0004489337822671136
cat__Title_Interactions_Mrs_female,0.002693602693602681,0.0029778898229902446
cat__Sex_male,0.0026936026936027037,0.00386187441842544
cat__Sex_female,0.0026936026936027037,0.00386187441842544
cat__TicketPrefix_STON/O,0.0033670033670033517,0.0014196532705581886
num__Age,0.0035914702581369084,0.0037155881834448424
cat__Deck_D,0.004040404040404022,0.0020816203132425727
num__Parch,0.0042648709315375784,0.0017957351290684544
cat__TicketPrefix_F.C.C.,0.005162738496071806,0.0008978675645342272
cat__Deck_E,0.005162738496071806,0.0015224085259540375
cat__TicketPrefix_C.A.,0.005387205387205385,0.0027855608632976273
cat__TicketPrefix_W./C.,0.005836139169472477,0.0010996586948521512
cat__Deck_B,0.005836139169472498,0.002598392121838459
cat__Title_Interactions_Master_male,0.006285072951739612,0.004235232831450795
num__Pclass,0.016386083052749755,0.0037960795791891554
cat__Embarked_C,0.019304152637485993,0.0038488054319825295
num__FamilySize,0.020426487093153776,0.002785560863297598
cat__Embarked_S,0.020650953984287356,0.0063726462700688736
num__feat_Embarked_te,0.022222222222222233,0.005696331106823552
num__SibSp,0.023569023569023573,0.002749146737130378
cat__Deck_U,0.029180695847362537,0.008124337181079189
num__feat_TicketPrefix_te,0.03277216610549947,0.0035062849274553106
cat__TicketPrefix_PC,0.04332210998877668,0.00608963410381615
num__feat_Deck_te,0.04646464646464647,0.00649016040170635
cat__Title_Interactions_Mr_male,0.08484848484848484,0.009618085425646941
