number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8082674199623352,2025-12-06 16:14:41.655365,2025-12-06 16:14:44.983609,0 days 00:00:03.328244,0.7651730565647415,0.29454867721501876,6,135,0.646838227314102,COMPLETE
1,0.8093973634651602,2025-12-06 16:14:44.983688,2025-12-06 16:14:48.999479,0 days 00:00:04.015791,0.8739944037444503,0.26396083735995174,10,224,0.6519632659240674,COMPLETE
2,0.8273634651600753,2025-12-06 16:14:48.999567,2025-12-06 16:14:51.274375,0 days 00:00:02.274808,0.6467742734395807,0.024803470072535312,9,131,0.9584214610947918,COMPLETE
3,0.8239736346516007,2025-12-06 16:14:51.274466,2025-12-06 16:14:53.192571,0 days 00:00:01.918105,0.6917311826221544,0.07108621003190829,3,211,0.7467696300240425,COMPLETE
4,0.827306967984934,2025-12-06 16:14:53.192652,2025-12-06 16:14:54.827223,0 days 00:00:01.634571,0.5392585590791028,0.21767801041029855,3,181,0.6400884811332281,COMPLETE
5,0.8138229755178907,2025-12-06 16:14:54.827302,2025-12-06 16:14:55.962815,0 days 00:00:01.135513,0.7312062468025045,0.2896947959056716,10,54,0.5012265061600071,COMPLETE
6,0.8104708097928436,2025-12-06 16:14:55.962900,2025-12-06 16:14:59.127432,0 days 00:00:03.164532,0.8202403530164639,0.24310730402032454,9,205,0.7441021905593845,COMPLETE
7,0.8081732580037665,2025-12-06 16:14:59.127514,2025-12-06 16:15:01.830110,0 days 00:00:02.702596,0.5913588381504586,0.22407151244290158,9,146,0.5832196771203251,COMPLETE
8,0.8284369114877589,2025-12-06 16:15:01.830190,2025-12-06 16:15:03.878789,0 days 00:00:02.048599,0.8038482343702513,0.050757233791134386,3,234,0.9369532395962457,COMPLETE
9,0.8183050847457628,2025-12-06 16:15:03.878871,2025-12-06 16:15:07.383771,0 days 00:00:03.504900,0.8274522515720393,0.1695753296473638,6,244,0.6699953078946155,COMPLETE
