number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8195668549905839,2025-12-06 15:29:12.152826,2025-12-06 15:29:23.856114,0 days 00:00:11.703288,14,log2,8,2,223,COMPLETE
1,0.8318455743879473,2025-12-06 15:29:23.856195,2025-12-06 15:29:51.365716,0 days 00:00:27.509521,13,,1,12,284,COMPLETE
2,0.815009416195857,2025-12-06 15:29:51.365787,2025-12-06 15:30:06.449366,0 days 00:00:15.083579,8,sqrt,1,9,230,COMPLETE
3,0.8172693032015066,2025-12-06 15:30:06.449441,2025-12-06 15:30:14.041084,0 days 00:00:07.591643,13,log2,5,3,123,COMPLETE
4,0.8161016949152541,2025-12-06 15:30:14.041149,2025-12-06 15:30:17.951953,0 days 00:00:03.910804,15,sqrt,9,9,74,COMPLETE
5,0.8206591337099811,2025-12-06 15:30:17.952030,2025-12-06 15:30:28.972116,0 days 00:00:11.020086,10,log2,4,17,206,COMPLETE
6,0.8116572504708098,2025-12-06 15:30:28.972195,2025-12-06 15:30:39.041560,0 days 00:00:10.069365,10,sqrt,9,18,195,COMPLETE
7,0.8161205273069679,2025-12-06 15:30:39.041642,2025-12-06 15:30:48.261130,0 days 00:00:09.219488,18,log2,3,12,188,COMPLETE
8,0.827382297551789,2025-12-06 15:30:48.261210,2025-12-06 15:31:14.297769,0 days 00:00:26.036559,7,,8,18,296,COMPLETE
9,0.8218079096045198,2025-12-06 15:31:14.297836,2025-12-06 15:31:19.072950,0 days 00:00:04.775114,15,sqrt,8,9,110,COMPLETE
10,0.8329566854990582,2025-12-06 15:31:19.073021,2025-12-06 15:31:43.990886,0 days 00:00:24.917865,20,,1,13,297,COMPLETE
11,0.8318644067796609,2025-12-06 15:31:43.990969,2025-12-06 15:32:10.519601,0 days 00:00:26.528632,20,,1,13,293,COMPLETE
12,0.830734463276836,2025-12-06 15:32:10.519679,2025-12-06 15:32:33.001158,0 days 00:00:22.481479,20,,2,15,262,COMPLETE
