number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8138041431261772,2025-12-06 16:10:04.552616,2025-12-06 16:10:08.466435,0 days 00:00:03.913819,0.6288968372055446,0.28557397362196074,8,300,0.7379101472523147,COMPLETE
1,0.820527306967985,2025-12-06 16:10:08.466504,2025-12-06 16:10:09.303422,0 days 00:00:00.836918,0.8730732333096367,0.23989571531750314,4,69,0.5096636593166028,COMPLETE
2,0.827231638418079,2025-12-06 16:10:09.303516,2025-12-06 16:10:10.649339,0 days 00:00:01.345823,0.556772085783255,0.19288302129381288,4,132,0.7416705575191758,COMPLETE
3,0.8194538606403013,2025-12-06 16:10:10.649434,2025-12-06 16:10:12.297507,0 days 00:00:01.648073,0.73041738296854,0.22887371316740562,5,139,0.9334625047278582,COMPLETE
4,0.8126365348399246,2025-12-06 16:10:12.297600,2025-12-06 16:10:15.220609,0 days 00:00:02.923009,0.8184315814839029,0.28912237662191753,8,208,0.5759277412507571,COMPLETE
5,0.8183239171374764,2025-12-06 16:10:15.220704,2025-12-06 16:10:17.863385,0 days 00:00:02.642681,0.6956209721073832,0.2168234226496727,10,178,0.558728771120999,COMPLETE
6,0.826120527306968,2025-12-06 16:10:17.863483,2025-12-06 16:10:18.844615,0 days 00:00:00.981132,0.6472386966029133,0.07669030680404317,7,52,0.9099409200329245,COMPLETE
7,0.8104331450094162,2025-12-06 16:10:18.844711,2025-12-06 16:10:21.184517,0 days 00:00:02.339806,0.5216351463197786,0.2931462814261892,7,179,0.9718686802957577,COMPLETE
8,0.8283239171374764,2025-12-06 16:10:21.184613,2025-12-06 16:10:23.191953,0 days 00:00:02.007340,0.5501816027046271,0.019084919985095906,3,258,0.740448388790401,COMPLETE
9,0.8284180790960453,2025-12-06 16:10:23.192065,2025-12-06 16:10:24.888850,0 days 00:00:01.696785,0.6130019317669588,0.05754287111362477,10,81,0.6734854030029187,COMPLETE
10,0.8227683615819209,2025-12-06 16:10:24.888966,2025-12-06 16:10:27.296230,0 days 00:00:02.407264,0.9857905490048748,0.1126524754853957,10,107,0.6308153013906499,COMPLETE
11,0.8305649717514125,2025-12-06 16:10:27.296334,2025-12-06 16:10:29.407982,0 days 00:00:02.111648,0.5892664998657386,0.019978322058892023,3,257,0.8299292660845405,COMPLETE
12,0.8295668549905837,2025-12-06 16:10:29.408087,2025-12-06 16:10:32.321540,0 days 00:00:02.913453,0.5943088058846632,0.019797613622075348,5,247,0.8391808753066174,COMPLETE
13,0.8250282485875707,2025-12-06 16:10:32.321637,2025-12-06 16:10:35.245492,0 days 00:00:02.923855,0.8008201257096457,0.017604683401394948,5,240,0.8571458126533918,COMPLETE
14,0.828418079096045,2025-12-06 16:10:35.245588,2025-12-06 16:10:37.698379,0 days 00:00:02.452791,0.5836344195808769,0.1303001638159733,3,298,0.8332601546207258,COMPLETE
15,0.8250094161958569,2025-12-06 16:10:37.698476,2025-12-06 16:10:40.545366,0 days 00:00:02.846890,0.6772411023116235,0.0691284742516792,5,251,0.819529081256518,COMPLETE
16,0.8205084745762712,2025-12-06 16:10:40.545467,2025-12-06 16:10:42.586919,0 days 00:00:02.041452,0.5168492341047256,0.04274095776436543,4,218,0.7974848723293709,COMPLETE
17,0.8216949152542373,2025-12-06 16:10:42.587063,2025-12-06 16:10:46.172828,0 days 00:00:03.585765,0.7532924575108928,0.10216322327761972,6,273,0.8828398767718878,COMPLETE
18,0.8385499058380416,2025-12-06 16:10:46.172939,2025-12-06 16:10:47.912243,0 days 00:00:01.739304,0.5811541021725581,0.15795287997503077,3,210,0.9719316372165345,COMPLETE
19,0.8306779661016949,2025-12-06 16:10:47.912340,2025-12-06 16:10:49.703896,0 days 00:00:01.791556,0.903077212915006,0.16421580988423967,3,206,0.9912442891708164,COMPLETE
