feature,importance_mean,importance_std
num__feat_Title_Fare_interact,0.1997755331088664,0.008308307754577669
num__AgeSex,0.1250280583613917,0.004235232831450757
num__AgeClass,0.07070707070707068,0.0020076929090907607
cat__feat_Embarked_Pclass_interact_3,0.05656565656565653,0.005525716554474125
num__feat_FamilySize_Age_ratio,0.02581369248035914,0.0015872206087240053
num__ClassFare,0.017059483726150314,0.0008398782012960548
num__FarePerPerson,0.01054994388327717,0.0016797564025921097
num__Age,0.009427609427609385,0.003142536475869795
num__Age_squared,0.007182940516273817,0.0021993173897043024
num__WealthIndicator,0.005836139169472477,0.0038488054319825295
cat__feat_Embarked_Pclass_interact_6,0.005836139169472477,0.0013088556441852466
cat__TicketFreq_2,0.004713804713804693,0.0008398782012960549
num__Fare_log,0.003815937149270465,0.0026177112883704933
cat__FamilySize_7,0.0033670033670033517,0.0
cat__SibSp_1,0.003142536475869795,0.0010996586948521514
cat__SibSp_2,0.002244668911335568,0.0
cat__Pclass_3,0.002020202020202011,0.0019309372092127018
cat__feat_Embarked_Pclass_interact_2,0.002020202020202011,0.0008398782012960548
cat__feat_Embarked_Pclass_interact_9,0.002020202020202011,0.0004489337822671136
num__Fare,0.0015712682379348975,0.0005498293474260757
num__Fare_squared,0.0013468013468013406,0.0019309372092127018
cat__TicketFreq_3,0.001122334455667784,0.0
cat__TicketFreq_4,0.001122334455667784,0.0
cat__FamilySize_4,0.001122334455667784,0.0
cat__FamilySize_2,0.00044893378226711355,0.0005498293474260756
cat__FamilySize_6,0.0,0.0
cat__FamilySize_5,0.0,0.0
cat__FamilySize_3,0.0,0.0
cat__SibSp_8,0.0,0.0
cat__SibSp_4,0.0,0.0
cat__SibSp_5,0.0,0.0
cat__Pclass_2,0.0,0.0
cat__SibSp_3,0.0,0.0
cat__TicketFreq_6,0.0,0.0
cat__TicketFreq_5,0.0,0.0
cat__FamilySize_8,0.0,0.0
cat__FamilySize_11,0.0,0.0
cat__Male_ThirdClass_1,0.0,0.0
cat__Female_FirstClass_1,0.0,0.0
cat__TicketFreq_7,0.0,0.0
cat__feat_Embarked_Pclass_interact_4,0.0,0.0
