feature,importance_mean,importance_std
num__feat_Title_Fare_interact,0.1459034792368126,0.009172981702223353
num__AgeClass,0.043771043771043794,0.0051676159071700496
num__AgeSex,0.03367003367003372,0.0039521474436945165
num__FarePerPerson,0.01750841750841754,0.006332990338794981
cat__feat_Embarked_Pclass_interact_3,0.012345679012345734,0.0035491331763954715
num__WealthIndicator,0.008754208754208782,0.005740386914722548
num__ClassFare,0.006285072951739612,0.002519634603888208
num__feat_FamilySize_Age_ratio,0.0058361391694725425,0.004567225577862164
cat__TicketFreq_5,0.0053872053872054074,0.0022891221160910745
num__Age,0.004713804713804737,0.003126462015080633
num__Fare_log,0.004264870931537601,0.0030448170519081176
num__Fare_squared,0.0017957351290684765,0.004175325530356528
cat__TicketFreq_7,0.0017957351290684542,0.0005498293474260757
cat__Pclass_3,0.0017957351290684542,0.0011445610580455132
num__Age_squared,0.0015712682379348975,0.0023110280900082948
cat__TicketFreq_2,0.0013468013468013406,0.0013088556441852466
cat__FamilySize_7,0.001122334455667784,0.0
cat__TicketFreq_4,0.001122334455667784,0.0007098266352790943
cat__feat_Embarked_Pclass_interact_6,0.0006734006734006703,0.0011445610580455132
cat__FamilySize_5,0.00022446689113355677,0.0008398782012960548
cat__FamilySize_3,0.00022446689113355677,0.0004489337822671135
cat__feat_Embarked_Pclass_interact_4,0.0,0.0
cat__FamilySize_2,0.0,0.0
cat__Pclass_2,0.0,0.0
cat__SibSp_2,0.0,0.0
cat__feat_Embarked_Pclass_interact_9,0.0,0.0007098266352790943
cat__FamilySize_6,0.0,0.0
cat__SibSp_8,0.0,0.0
cat__FamilySize_4,0.0,0.0
cat__SibSp_5,0.0,0.0
cat__SibSp_4,0.0,0.0
cat__SibSp_3,0.0,0.0
cat__FamilySize_11,0.0,0.0
cat__feat_Embarked_Pclass_interact_2,0.0,0.0
cat__TicketFreq_3,0.0,0.0
cat__FamilySize_8,0.0,0.0
cat__Male_ThirdClass_1,0.0,0.0
cat__Female_FirstClass_1,-0.00044893378226711355,0.0011445610580455132
cat__TicketFreq_6,-0.00044893378226711355,0.000897867564534227
cat__SibSp_1,-0.0015712682379348975,0.0016797564025921097
num__Fare,-0.003142536475869795,0.002874578782236956
