feature,importance_mean,importance_std
num__AgeSex,0.0760942760942761,0.007005381160191812
num__feat_Title_Fare_interact,0.0430976430976431,0.005148078537005486
num__AgeClass,0.017059483726150425,0.0008398782012960549
num__WealthIndicator,0.01526374859708195,0.001144561058045548
num__FarePerPerson,0.014590347923681257,0.0014196532705582413
num__ClassFare,0.007856341189674487,0.0031744412174480106
num__Fare,0.006734006734006703,0.0033293820368555014
num__Fare_log,0.00628507295173959,0.0020816203132425727
cat__Pclass_3,0.005836139169472477,0.0021762872536100143
cat__Female_FirstClass_1,0.0056116722783389195,0.0023542286154212048
cat__Male_ThirdClass_1,0.0056116722783389195,0.0036883673906071626
num__Fare_squared,0.005162738496071806,0.003142536475869795
cat__feat_Embarked_Pclass_interact_3,0.005162738496071806,0.0023110280900082948
cat__TicketFreq_2,0.003142536475869795,0.0008398782012960549
cat__SibSp_1,0.0017957351290684542,0.0018235776441382547
num__feat_FamilySize_Age_ratio,0.0015712682379348975,0.0008978675645342272
num__Age,0.0013468013468013406,0.0017957351290684544
cat__Pclass_2,0.0013468013468013406,0.0013088556441852466
cat__FamilySize_3,0.001122334455667784,0.0007098266352790943
cat__feat_Embarked_Pclass_interact_6,0.001122334455667784,0.0
num__Age_squared,0.0008978675645342271,0.0010996586948521514
cat__feat_Embarked_Pclass_interact_9,0.0008978675645342271,0.0004489337822671136
cat__TicketFreq_5,0.00044893378226711355,0.000897867564534227
cat__FamilySize_2,0.00044893378226711355,0.000897867564534227
cat__FamilySize_6,0.00022446689113355677,0.0004489337822671135
cat__SibSp_4,0.00022446689113355677,0.0004489337822671135
cat__FamilySize_4,0.00022446689113355677,0.0004489337822671135
cat__FamilySize_8,0.0,0.0
cat__SibSp_3,0.0,0.0
cat__SibSp_2,0.0,0.0
cat__SibSp_8,0.0,0.0
cat__SibSp_5,0.0,0.0
cat__FamilySize_11,0.0,0.0
cat__feat_Embarked_Pclass_interact_4,0.0,0.0
cat__TicketFreq_6,0.0,0.0
cat__TicketFreq_3,0.0,0.0007098266352790943
cat__TicketFreq_4,0.0,0.0
cat__TicketFreq_7,0.0,0.0007098266352790943
cat__FamilySize_5,-0.00022446689113355677,0.0004489337822671135
cat__FamilySize_7,-0.00022446689113355677,0.0004489337822671135
cat__feat_Embarked_Pclass_interact_2,-0.00022446689113355677,0.0010996586948521512
