model_name,mean_accuracy,std_score,mean_auc,mean_precision,mean_recall,mean_f1,error,cv_scores
RandomForest,0.814801330738811,0.02872503627804737,,,,,,"[0.8268156424581006, 0.7865168539325843, 0.848314606741573, 0.7752808988764045, 0.8370786516853933]"
LogisticRegression,0.8170610758897746,0.016103068821134006,,,,,,"[0.8156424581005587, 0.8089887640449438, 0.8033707865168539, 0.8089887640449438, 0.848314606741573]"
KNeighbors,0.8092461239093591,0.02895687507789729,,,,,,"[0.770949720670391, 0.7808988764044944, 0.8146067415730337, 0.8370786516853933, 0.8426966292134831]"
GaussianNB,0.4365576548866989,0.014682099957052724,,,,,,"[0.46368715083798884, 0.42696629213483145, 0.42134831460674155, 0.43820224719101125, 0.43258426966292135]"
MLPClassifier,0.7946833218253719,0.035809357166622084,,,,,,"[0.7318435754189944, 0.8033707865168539, 0.7921348314606742, 0.8033707865168539, 0.8426966292134831]"
GradientBoosting,0.8271734354403364,0.02161512995130513,,,,,,"[0.8156424581005587, 0.797752808988764, 0.8426966292134831, 0.8202247191011236, 0.8595505617977528]"
ExtraTrees,0.7890025735986441,0.02575292436340835,,,,,,"[0.7877094972067039, 0.7696629213483146, 0.8202247191011236, 0.7528089887640449, 0.8146067415730337]"
AdaBoost,0.0,0.0,,,,,"sklearn.ensemble._weight_boosting.AdaBoostClassifier() argument after ** must be a mapping, not AdaBoostClassifier",[]
Bagging,0.0,0.0,,,,,"sklearn.ensemble._bagging.BaggingClassifier() argument after ** must be a mapping, not BaggingClassifier",[]
SGDClassifier,0.7519678614022973,0.05332335713836655,,,,,,"[0.7486033519553073, 0.6910112359550562, 0.7696629213483146, 0.7078651685393258, 0.8426966292134831]"
RidgeClassifier,0.8237963718536188,0.01794432363739578,,,,,,"[0.8212290502793296, 0.8202247191011236, 0.8258426966292135, 0.797752808988764, 0.8539325842696629]"
LinearSVC,0.8181909484652564,0.021410471575446073,,,,,,"[0.8100558659217877, 0.8146067415730337, 0.8089887640449438, 0.797752808988764, 0.8595505617977528]"
DecisionTree,0.7856757265708367,0.0439088390818513,,,,,,"[0.7486033519553073, 0.7584269662921348, 0.8707865168539326, 0.7696629213483146, 0.7808988764044944]"
BernoulliNB,0.7576737179084804,0.04874846170413074,,,,,,"[0.6703910614525139, 0.7584269662921348, 0.7752808988764045, 0.7640449438202247, 0.8202247191011236]"
LinearDiscriminantAnalysis,0.827154604230745,0.023714337956763424,,,,,,"[0.8324022346368715, 0.8146067415730337, 0.8146067415730337, 0.8033707865168539, 0.8707865168539326]"
QuadraticDiscriminantAnalysis,0.41636432113489424,0.010552282806968861,,,,,,"[0.43575418994413406, 0.4044943820224719, 0.4101123595505618, 0.4157303370786517, 0.4157303370786517]"
XGBoost,0.0,0.0,,,,,"xgboost.sklearn.XGBClassifier() argument after ** must be a mapping, not XGBClassifier",[]
LightGBM,0.0,0.0,,,,,"lightgbm.sklearn.LGBMClassifier() argument after ** must be a mapping, not LGBMClassifier",[]
CatBoost,0.8215366267026551,0.01870471397087304,,,,,,"[0.8324022346368715, 0.8146067415730337, 0.8202247191011236, 0.7921348314606742, 0.848314606741573]"
Ensemble_Voting,0.8282907538760906,0.018922664120418497,0.8877566396976168,,,,,[]
Ensemble_Stacking,0.8215742891218379,0.025267533678830417,0.8705190688887514,,,,,[]
Ensemble_Voting_Calibrated,0.8226790534178645,0.016799723503445944,0.8809698086000909,,,,,[]
GradientBoosting_Calibrated,0.8282907538760906,0.02200713301269989,0.8809978459600106,,,,,[]
LinearDiscriminantAnalysis_Calibrated,0.826031008725127,0.021954387236294243,0.8755772126814971,,,,,[]
Ensemble_Stacking_Calibrated,0.8182097796748478,0.023208776352020212,0.8623751783775482,,,,,[]
CatBoost_Calibrated,0.8170547988199109,0.019041561527514222,0.8744714336399971,,,,,[]
