model_name,mean_accuracy,std_score,mean_auc,mean_precision,mean_recall,mean_f1,error,cv_scores
Random Forest,0.8205461393596986,0.049324058033276004,,,,,,"[0.8, 0.8166666666666667, 0.8666666666666667, 0.7333333333333333, 0.75, 0.85, 0.9152542372881356, 0.8813559322033898, 0.7966101694915254, 0.7627118644067796, 0.847457627118644, 0.7796610169491526, 0.847457627118644, 0.8135593220338984, 0.847457627118644]"
Gradient Boosting,0.8295103578154426,0.042370102440786477,,,,,,"[0.8166666666666667, 0.8, 0.85, 0.7666666666666667, 0.75, 0.9, 0.864406779661017, 0.847457627118644, 0.8305084745762712, 0.8305084745762712, 0.8305084745762712, 0.7627118644067796, 0.864406779661017, 0.847457627118644, 0.8813559322033898]"
Extra Trees,0.8026177024482111,0.053642024028315444,,,,,,"[0.7833333333333333, 0.7833333333333333, 0.8166666666666667, 0.7166666666666667, 0.75, 0.8333333333333334, 0.9152542372881356, 0.8305084745762712, 0.8135593220338984, 0.7627118644067796, 0.7966101694915254, 0.7288135593220338, 0.8305084745762712, 0.7796610169491526, 0.8983050847457628]"
AdaBoost,0.8215065913370998,0.03350824971508733,,,,,,"[0.8, 0.8166666666666667, 0.8833333333333333, 0.8, 0.7666666666666667, 0.9, 0.8135593220338984, 0.8135593220338984, 0.8135593220338984, 0.8135593220338984, 0.8135593220338984, 0.7796610169491526, 0.8305084745762712, 0.8305084745762712, 0.847457627118644]"
Bagging,0.8093596986817327,0.048025353489919126,,,,,,"[0.8166666666666667, 0.7833333333333333, 0.8333333333333334, 0.7166666666666667, 0.75, 0.8166666666666667, 0.8983050847457628, 0.8813559322033898, 0.8305084745762712, 0.7627118644067796, 0.8135593220338984, 0.7627118644067796, 0.8135593220338984, 0.7966101694915254, 0.864406779661017]"
Logistic Regression,0.8237853107344631,0.03876576360183826,,,,,,"[0.8, 0.7833333333333333, 0.8833333333333333, 0.8166666666666667, 0.7833333333333333, 0.8833333333333333, 0.8135593220338984, 0.7966101694915254, 0.7966101694915254, 0.8135593220338984, 0.8135593220338984, 0.7966101694915254, 0.847457627118644, 0.8135593220338984, 0.9152542372881356]"
SGD Classifier,0.7757627118644067,0.04451857904654949,,,,,,"[0.7166666666666667, 0.7666666666666667, 0.8, 0.7833333333333333, 0.6833333333333333, 0.7, 0.8135593220338984, 0.7966101694915254, 0.7457627118644068, 0.7796610169491526, 0.8135593220338984, 0.7796610169491526, 0.8135593220338984, 0.847457627118644, 0.7966101694915254]"
Ridge Classifier,0.8271374764595104,0.037088357519447265,,,,,,"[0.7833333333333333, 0.8166666666666667, 0.9, 0.8, 0.8, 0.8833333333333333, 0.7966101694915254, 0.8305084745762712, 0.7966101694915254, 0.8135593220338984, 0.7966101694915254, 0.7966101694915254, 0.864406779661017, 0.847457627118644, 0.8813559322033898]"
SVC,0.8327871939736347,0.04249404731020782,,,,,,"[0.8, 0.8, 0.9, 0.8, 0.7666666666666667, 0.9166666666666666, 0.8305084745762712, 0.8305084745762712, 0.8135593220338984, 0.8305084745762712, 0.7966101694915254, 0.7966101694915254, 0.847457627118644, 0.8813559322033898, 0.8813559322033898]"
Linear SVC,0.8237853107344633,0.03962988567932604,,,,,,"[0.7666666666666667, 0.8166666666666667, 0.9, 0.8, 0.7833333333333333, 0.8833333333333333, 0.8135593220338984, 0.8135593220338984, 0.7966101694915254, 0.7966101694915254, 0.8135593220338984, 0.7966101694915254, 0.847457627118644, 0.8305084745762712, 0.8983050847457628]"
KNN,0.8162146892655369,0.05609203134019625,,,,,,"[0.7166666666666667, 0.7666666666666667, 0.8166666666666667, 0.7333333333333333, 0.75, 0.8666666666666667, 0.8983050847457628, 0.8135593220338984, 0.7796610169491526, 0.847457627118644, 0.8305084745762712, 0.7966101694915254, 0.8983050847457628, 0.864406779661017, 0.864406779661017]"
Decision Tree,0.765593220338983,0.06675480145658244,,,,,,"[0.7333333333333333, 0.7833333333333333, 0.7166666666666667, 0.6666666666666666, 0.7333333333333333, 0.8166666666666667, 0.8305084745762712, 0.8813559322033898, 0.6949152542372882, 0.7288135593220338, 0.8305084745762712, 0.6440677966101694, 0.8135593220338984, 0.7796610169491526, 0.8305084745762712]"
Gaussian NB,0.451186440677966,0.019334969954094873,,,,,,"[0.4666666666666667, 0.45, 0.5, 0.43333333333333335, 0.4166666666666667, 0.43333333333333335, 0.4406779661016949, 0.4576271186440678, 0.4406779661016949, 0.4576271186440678, 0.4576271186440678, 0.4406779661016949, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]"
Bernoulli NB,0.7532956685499058,0.051766713199022645,,,,,,"[0.6166666666666667, 0.7333333333333333, 0.6833333333333333, 0.8, 0.7, 0.8, 0.7457627118644068, 0.7966101694915254, 0.7457627118644068, 0.7796610169491526, 0.7627118644067796, 0.7796610169491526, 0.8135593220338984, 0.7457627118644068, 0.7966101694915254]"
LDA,0.8227306967984933,0.038871242627780495,,,,,,"[0.75, 0.8, 0.8666666666666667, 0.8, 0.7833333333333333, 0.8833333333333333, 0.7966101694915254, 0.847457627118644, 0.7966101694915254, 0.8305084745762712, 0.8135593220338984, 0.7796610169491526, 0.864406779661017, 0.864406779661017, 0.864406779661017]"
QDA,0.40969868173257995,0.015429579771784085,,,,,,"[0.43333333333333335, 0.4166666666666667, 0.4166666666666667, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.4067796610169492, 0.4067796610169492, 0.4067796610169492, 0.4067796610169492, 0.423728813559322, 0.423728813559322, 0.423728813559322, 0.423728813559322, 0.4067796610169492]"
XGBoost,0.8059510357815441,0.04592337316838615,,,,,,"[0.7666666666666667, 0.8333333333333334, 0.8166666666666667, 0.7333333333333333, 0.7666666666666667, 0.8166666666666667, 0.8813559322033898, 0.864406779661017, 0.7966101694915254, 0.8135593220338984, 0.847457627118644, 0.711864406779661, 0.8135593220338984, 0.7796610169491526, 0.847457627118644]"
LightGBM,0.8103578154425611,0.05106822409957467,,,,,,"[0.8, 0.85, 0.8833333333333333, 0.7333333333333333, 0.75, 0.8166666666666667, 0.864406779661017, 0.864406779661017, 0.7966101694915254, 0.7966101694915254, 0.847457627118644, 0.711864406779661, 0.8135593220338984, 0.7627118644067796, 0.864406779661017]"
Ensemble_Voting,0.828286252354049,0.04120807889722981,,,,,,[]
Ensemble_Stacking,0.8226930320150657,0.02855589281769169,,,,,,[]
